drug_name,generic_name,opioid_drug_flag,antibiotic_drug_flag,high_risk_flag,antipsychotic_drug_flag
ADOXA,DOXYCYCLINE MONOHYDRATE,N,Y,N,N 
ADRENALIN,EPINEPHRINE,N,N,N,N 
ADRUCIL,FLUOROURACIL,N,N,N,N 
ADVAIR DISKUS,FLUTICASONE/SALMETEROL,N,N,N,N 
ADVAIR HFA,FLUTICASONE/SALMETEROL,N,N,N,N 
ADVANCED DNA MEDICATED COLLECT,LIDOCAINE HCL/GLYCERIN,N,N,N,N 
ADVICOR,NIACIN/LOVASTATIN,N,N,N,N 
ADVOCATE PEN NEEDLES,"PEN NEEDLE, DIABETIC",N,N,N,N 
ADVOCATE SYRINGES,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
ADVOCATE SYRINGES,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
ADVOCATE SYRINGES,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
AEROSPAN,FLUNISOLIDE,N,N,N,N 
AFEDITAB CR,NIFEDIPINE,N,N,N,N 
AFINITOR,EVEROLIMUS,N,N,N,N 
AFINITOR DISPERZ,EVEROLIMUS,N,N,N,N 
AFREZZA,"INSULIN REGULAR, HUMAN",N,N,N,N 
AGGRENOX,ASPIRIN/DIPYRIDAMOLE,N,N,N,N 
AGRYLIN,ANAGRELIDE HCL,N,N,N,N 
AK-POLY-BAC,BACITRACIN/POLYMYXIN B SULFATE,N,N,N,N 
AKNE-MYCIN,ERYTHROMYCIN BASE,N,N,N,N 
AKTEN,LIDOCAINE HCL/PF,N,N,N,N 
AKYNZEO,NETUPITANT/PALONOSETRON HCL,N,N,N,N 
ALA-CORT,HYDROCORTISONE,N,N,N,N 
ALA-SCALP,HYDROCORTISONE,N,N,N,N 
ALBENZA,ALBENDAZOLE,N,N,N,N 
ALBUMIN (HUMAN),ALBUMIN HUMAN,N,N,N,N 
ALBUTEIN,ALBUMIN HUMAN,N,N,N,N 
ALBUTEROL SULFATE,ALBUTEROL SULFATE,N,N,N,N 
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,N,N,N,N 
ALCOHOL PADS,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALCOHOL PREP SWABS,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALCOHOL SWABS,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALCOHOL WIPES,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
ALDACTAZIDE,SPIRONOLACT/HYDROCHLOROTHIAZID,N,N,N,N 
ALDACTONE,SPIRONOLACTONE,N,N,N,N 
ALDARA,IMIQUIMOD,N,N,N,N 
ALDURAZYME,LARONIDASE,N,N,N,N 
ALECENSA,ALECTINIB HYDROCHLORIDE,N,N,N,N 
ALENDRONATE SODIUM,ALENDRONATE SODIUM,N,N,N,N 
ALFUZOSIN HCL ER,ALFUZOSIN HCL,N,N,N,N 
ALIMTA,PEMETREXED DISODIUM,N,N,N,N 
ALINIA,NITAZOXANIDE,N,N,N,N 
ALKERAN,MELPHALAN,N,N,N,N 
ALLEGRA,FEXOFENADINE HCL,N,N,N,N 
ALLEGRA-D 24 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,N,N,N,N 
ALLOPURINOL,ALLOPURINOL,N,N,N,N 
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,N,N,N,N 
ALOCRIL,NEDOCROMIL SODIUM,N,N,N,N 
ALOMIDE,LODOXAMIDE TROMETHAMINE,N,N,N,N 
ALORA,ESTRADIOL,N,N,Y,N 
ALOSETRON HCL,ALOSETRON HCL,N,N,N,N 
ALOXI,PALONOSETRON HCL,N,N,N,N 
ALPHAGAN P,BRIMONIDINE TARTRATE,N,N,N,N 
ALPRAZOLAM,ALPRAZOLAM,N,N,N,N 
ALPRAZOLAM ER,ALPRAZOLAM,N,N,N,N 
ALPRAZOLAM INTENSOL,ALPRAZOLAM,N,N,N,N 
ALPRAZOLAM ODT,ALPRAZOLAM,N,N,N,N 
ALPRAZOLAM XR,ALPRAZOLAM,N,N,N,N 
ALPROSTADIL,ALPROSTADIL,N,N,N,N 
ALREX,LOTEPREDNOL ETABONATE,N,N,N,N 
ALTABAX,RETAPAMULIN,N,N,N,N 
ALTACE,RAMIPRIL,N,N,N,N 
ALTAVERA,LEVONORGESTREL-ETHIN ESTRADIOL,N,N,N,N 
ALTOPREV,LOVASTATIN,N,N,N,N 
ALVESCO,CICLESONIDE,N,N,N,N 
ALYACEN,NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
AMANTADINE,AMANTADINE HCL,N,N,N,N 
AMARYL,GLIMEPIRIDE,N,N,N,N 
AMBIEN,ZOLPIDEM TARTRATE,N,N,Y,N 
AMBIEN CR,ZOLPIDEM TARTRATE,N,N,Y,N 
AMBISOME,AMPHOTERICIN B LIPOSOME,N,N,N,N 
AMCINONIDE,AMCINONIDE,N,N,N,N 
AMERGE,NARATRIPTAN HCL,N,N,N,N 
AMETHIA,L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
AMETHIA LO,L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
AMETHYST,LEVONORGESTREL-ETHIN ESTRADIOL,N,N,N,N 
AMICAR,AMINOCAPROIC ACID,N,N,N,N 
AMIFOSTINE,AMIFOSTINE CRYSTALLINE,N,N,N,N 
AMIKACIN SULFATE,AMIKACIN SULFATE,N,Y,N,N 
AMILORIDE HCL,AMILORIDE HCL,N,N,N,N 
AMILORIDE-HYDROCHLOROTHIAZIDE,AMILORIDE/HYDROCHLOROTHIAZIDE,N,N,N,N 
AMINO ACIDS,PARENTERAL AMINO ACID 15% NO.1,N,N,N,N 
AMINOCAPROIC ACID,AMINOCAPROIC ACID,N,N,N,N 
AMINOSYN,PARENTERAL AMINO ACID 10% NO.2,N,N,N,N 
AMINOSYN II,PARENTERAL AMINO ACID 10% NO.1,N,N,N,N 
AMINOSYN II,PARENTERAL AMINO ACID 15% NO.2,N,N,N,N 
AMIODARONE HCL,AMIODARONE HCL,N,N,N,N 
AMITIZA,LUBIPROSTONE,N,N,N,N 
AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,N,N,Y,N 
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,N,N,N,N 
AMLODIPINE BESYLATE-BENAZEPRIL,AMLODIPINE BESYLATE/BENAZEPRIL,N,N,N,N 
AMLODIPINE-ATORVASTATIN,AMLODIPINE/ATORVASTATIN,N,N,N,N 
AMLODIPINE-VALSARTAN,AMLODIPINE/VALSARTAN,N,N,N,N 
AMLODIPINE-VALSARTAN-HCTZ,AMLODIPINE/VALSARTAN/HCTHIAZID,N,N,N,N 
AMMONIUM LACTATE,AMMONIUM LACTATE,N,N,N,N 
AMNESTEEM,ISOTRETINOIN,N,N,N,N 
AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,N,Y,N,N 
AMOXAPINE,AMOXAPINE,N,N,N,N 
AMOXICILLIN,AMOXICILLIN,N,Y,N,N 
AMOXICILLIN-CLAVULANATE POT ER,AMOXICILLIN/POTASSIUM CLAV,N,Y,N,N 
AMOXICILLIN-CLAVULANATE POTASS,AMOXICILLIN/POTASSIUM CLAV,N,Y,N,N 
AMPHOTERICIN B,AMPHOTERICIN B,N,N,N,N 
AMPICILLIN SODIUM,AMPICILLIN SODIUM,N,Y,N,N 
AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,N,Y,N,N 
AMPICILLIN-SULBACTAM,AMPICILLIN SODIUM/SULBACTAM NA,N,Y,N,N 
AMPYRA,DALFAMPRIDINE,N,N,N,N 
AMRIX,CYCLOBENZAPRINE HCL,N,N,Y,N 
AMTURNIDE,ALISKIREN/AMLODIPIN/HCTHIAZIDE,N,N,N,N 
ANA-LEX,HYDROCORTISONE/LIDOCAINE/ALOE,N,N,N,N 
ANADROL-50,OXYMETHOLONE,N,N,N,N 
ANAFRANIL,CLOMIPRAMINE HCL,N,N,Y,N 
ANAGRELIDE HCL,ANAGRELIDE HCL,N,N,N,N 
ANALPRAM HC,HYDROCORTISONE/PRAMOXINE,N,N,N,N 
ANAPROX,NAPROXEN SODIUM,N,N,N,N 
ANAPROX DS,NAPROXEN SODIUM,N,N,N,N 
ANASPAZ,HYOSCYAMINE SULFATE,N,N,N,N 
ANASTROZOLE,ANASTROZOLE,N,N,N,N 
ANDRODERM,TESTOSTERONE,N,N,N,N 
ANDROGEL,TESTOSTERONE,N,N,N,N 
ANDROID,METHYLTESTOSTERONE,N,N,N,N 
ANDROXY,FLUOXYMESTERONE,N,N,N,N 
ANGELIQ,DROSPIRENONE/ESTRADIOL,N,N,Y,N 
ANORO ELLIPTA,UMECLIDINIUM BRM/VILANTEROL TR,N,N,N,N 
ANTABUSE,DISULFIRAM,N,N,N,N 
ANTARA,"FENOFIBRATE,MICRONIZED",N,N,N,N 
ANTIPYRINE-BENZOCAINE,ANTIPYRINE/BENZOCAINE,N,N,N,N 
ANUCORT-HC,HYDROCORTISONE ACETATE,N,N,N,N 
ANUSOL-HC,HYDROCORTISONE,N,N,N,N 
ANZEMET,DOLASETRON MESYLATE,N,N,N,N 
APEXICON E,DIFLORASONE DIACETATE/EMOLL,N,N,N,N 
APIDRA,INSULIN GLULISINE,N,N,N,N 
APIDRA SOLOSTAR,INSULIN GLULISINE,N,N,N,N 
APLENZIN,BUPROPION HBR,N,N,N,N 
APOKYN,APOMORPHINE HCL,N,N,N,N 
APRACLONIDINE HCL,APRACLONIDINE HCL,N,N,N,N 
APRI,DESOGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
APRISO,MESALAMINE,N,N,N,N 
APTIOM,ESLICARBAZEPINE ACETATE,N,N,N,N 
APTIVUS,TIPRANAVIR,N,N,N,N 
ARALAST NP,ALPHA-1-PROTEINASE INHIBITOR,N,N,N,N 
ARANELLE,NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
ARANESP,DARBEPOETIN ALFA IN POLYSORBAT,N,N,N,N 
ARAVA,LEFLUNOMIDE,N,N,N,N 
ARBINOXA,CARBINOXAMINE MALEATE,N,N,Y,N 
ARCALYST,RILONACEPT,N,N,N,N 
ARCAPTA NEOHALER,INDACATEROL MALEATE,N,N,N,N 
ARESTIN,MINOCYCLINE HCL MICROSPHERES,N,N,N,N 
ARICEPT,DONEPEZIL HCL,N,N,N,N 
ARICEPT ODT,DONEPEZIL HCL,N,N,N,N 
ARIMIDEX,ANASTROZOLE,N,N,N,N 
ARIPIPRAZOLE,ARIPIPRAZOLE,N,N,N,Y 
ARIPIPRAZOLE ODT,ARIPIPRAZOLE,N,N,N,Y 
ARISTADA,ARIPIPRAZOLE LAUROXIL,N,N,N,Y 
ARIXTRA,FONDAPARINUX SODIUM,N,N,N,N 
ARMOUR THYROID,"THYROID,PORK",N,N,Y,N 
ARNUITY ELLIPTA,FLUTICASONE FUROATE,N,N,N,N 
AROMASIN,EXEMESTANE,N,N,N,N 
ARTHROTEC 50,DICLOFENAC SODIUM/MISOPROSTOL,N,N,N,N 
ARTHROTEC 75,DICLOFENAC SODIUM/MISOPROSTOL,N,N,N,N 
ARZERRA,OFATUMUMAB,N,N,N,N 
ASACOL,MESALAMINE,N,N,N,N 
ASACOL HD,MESALAMINE,N,N,N,N 
ASCOMP WITH CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,Y,N,Y,N 
ASHLYNA,L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
ASMANEX,MOMETASONE FUROATE,N,N,N,N 
ASMANEX HFA,MOMETASONE FUROATE,N,N,N,N 
ASPIRIN-CAFFEINE-DIHYDROCODEIN,DIHYDROCODEINE/ASPIRIN/CAFFEIN,Y,N,N,N 
ASPIRIN-DIPYRIDAMOLE ER,ASPIRIN/DIPYRIDAMOLE,N,N,N,N 
ASSURE ID INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",N,N,N,N 
ASSURE ID INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SF 0.5ML",N,N,N,N 
ASTAGRAF XL,TACROLIMUS,N,N,N,N 
ASTELIN,AZELASTINE HCL,N,N,N,N 
ASTEPRO,AZELASTINE HCL,N,N,N,N 
ATACAND,CANDESARTAN CILEXETIL,N,N,N,N 
ATACAND HCT,CANDESARTAN/HYDROCHLOROTHIAZID,N,N,N,N 
ATELVIA,RISEDRONATE SODIUM,N,N,N,N 
ATENOLOL,ATENOLOL,N,N,N,N 
ATENOLOL-CHLORTHALIDONE,ATENOLOL/CHLORTHALIDONE,N,N,N,N 
ATIVAN,LORAZEPAM,N,N,N,N 
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,N,N,N,N 
ATOVAQUONE,ATOVAQUONE,N,N,N,N 
ATOVAQUONE-PROGUANIL HCL,ATOVAQUONE/PROGUANIL HCL,N,N,N,N 
ATRALIN,TRETINOIN,N,N,N,N 
ATRIPLA,EFAVIRENZ/EMTRICITAB/TENOFOVIR,N,N,N,N 
ATROPINE SULFATE,ATROPINE SULFATE,N,N,N,N 
ATROVENT,IPRATROPIUM BROMIDE,N,N,N,N 
ATROVENT HFA,IPRATROPIUM BROMIDE,N,N,N,N 
AUBAGIO,TERIFLUNOMIDE,N,N,N,N 
AUGMENTIN,AMOXICILLIN/POTASSIUM CLAV,N,Y,N,N 
AUGMENTIN XR,AMOXICILLIN/POTASSIUM CLAV,N,Y,N,N 
AUROGUARD,ANTIPYRINE/BENZOCAINE,N,N,N,N 
AURYXIA,FERRIC CITRATE,N,N,N,N 
AUTOSHIELD DUO PEN NEEDLE,"PEN NEEDLE,DUAL SAFETY,DIABETC",N,N,N,N 
AUTOSHIELD PEN NEEDLE,"PEN NEEDLE, DIABETIC, SAFETY",N,N,N,N 
AUVI-Q,EPINEPHRINE,N,N,N,N 
AVALIDE,IRBESARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
AVANDAMET,ROSIGLITAZONE/METFORMIN HCL,N,N,N,N 
AVANDARYL,ROSIGLITAZONE/GLIMEPIRIDE,N,N,N,N 
AVANDIA,ROSIGLITAZONE MALEATE,N,N,N,N 
AVAPRO,IRBESARTAN,N,N,N,N 
AVASTIN,BEVACIZUMAB,N,N,N,N 
AVC,SULFANILAMIDE,N,N,N,N 
AVEED,TESTOSTERONE UNDECANOATE,N,N,N,N 
AVELOX,MOXIFLOXACIN HCL,N,Y,N,N 
AVELOX ABC PACK,MOXIFLOXACIN HCL,N,Y,N,N 
AVELOX IV,MOXIFLOXACIN IN NACL (ISO-OSM),N,Y,N,N 
AVIANE,LEVONORGESTREL-ETHIN ESTRADIOL,N,N,N,N 
AVINZA,MORPHINE SULFATE,Y,N,N,N 
AVITA,TRETINOIN,N,N,N,N 
AVODART,DUTASTERIDE,N,N,N,N 
AVONEX,INTERFERON BETA-1A,N,N,N,N 
AVONEX ADMINISTRATION PACK,INTERFERON BETA-1A/ALBUMIN,N,N,N,N 
AVONEX PEN,INTERFERON BETA-1A,N,N,N,N 
AVYCAZ,CEFTAZIDIME/AVIBACTAM,N,Y,N,N 
AXERT,ALMOTRIPTAN MALATE,N,N,N,N 
AXIRON,TESTOSTERONE,N,N,N,N 
AXONA,"NUT.TX, METAB.DIS, MV & MIN #2",N,N,N,N 
AYGESTIN,NORETHINDRONE ACETATE,N,N,N,N 
AZACITIDINE,AZACITIDINE,N,N,N,N 
AZACTAM,AZTREONAM,N,Y,N,N 
AZACTAM-ISO-OSMOTIC DEXTROSE,AZTREONAM/DEXTROSE-WATER,N,Y,N,N 
AZASAN,AZATHIOPRINE,N,N,N,N 
AZASITE,AZITHROMYCIN,N,N,N,N 
AZATHIOPRINE,AZATHIOPRINE,N,N,N,N 
AZELASTINE HCL,AZELASTINE HCL,N,N,N,N 
AZELEX,AZELAIC ACID,N,N,N,N 
AZILECT,RASAGILINE MESYLATE,N,N,N,N 
AZITHROMYCIN,AZITHROMYCIN,N,Y,N,N 
AZOPT,BRINZOLAMIDE,N,N,N,N 
AZOR,AMLODIPINE BES/OLMESARTAN MED,N,N,N,N 
AZTREONAM,AZTREONAM,N,Y,N,N 
AZULFIDINE,SULFASALAZINE,N,N,N,N 
AZURETTE,DESOG-E.ESTRADIOL/E.ESTRADIOL,N,N,N,N 
B-D SINGLE USE ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
BACIIM,BACITRACIN,N,N,N,N 
BACITRACIN,BACITRACIN,N,N,N,N 
BACITRACIN-POLYMYXIN,BACITRACIN/POLYMYXIN B SULFATE,N,N,N,N 
BACLOFEN,BACLOFEN,N,N,N,N 
BACTRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,N,Y,N,N 
BACTRIM DS,SULFAMETHOXAZOLE/TRIMETHOPRIM,N,Y,N,N 
BACTROBAN,MUPIROCIN,N,N,N,N 
BACTROBAN,MUPIROCIN CALCIUM,N,N,N,N 
BACTROBAN NASAL,MUPIROCIN CALCIUM,N,N,N,N 
BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,N,N,N,N 
BALZIVA,NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
BAND-AID GAUZE PADS,GAUZE BANDAGE,N,N,N,N 
BANZEL,RUFINAMIDE,N,N,N,N 
BARACLUDE,ENTECAVIR,N,N,N,N 
BCG (TICE STRAIN),BCG LIVE,N,N,N,N 
BCG VACCINE (TICE STRAIN),"BCG VACCINE, LIVE/PF",N,N,N,N 
BD INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
BD INSULIN SYRINGE MICRO-FINE,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
BD INSULIN SYRINGE MICRO-FINE,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
BD INSULIN SYRINGE MICRO-FINE,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
BD INSULIN SYRINGE ULT-FINE II,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
BD INSULIN SYRINGE ULT-FINE II,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
BD INSULIN SYRINGE ULT-FINE II,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
BD INSULIN SYRINGE ULTRA-FINE,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
BD INSULIN SYRINGE ULTRA-FINE,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
BD ULTRA-FINE II,LANCETS,N,N,N,N 
BD ULTRA-FINE PEN NEEDLE,"PEN NEEDLE, DIABETIC",N,N,N,N 
BECONASE AQ,BECLOMETHASONE DIPROPIONATE,N,N,N,N 
BELLADONNA-OPIUM,OPIUM/BELLADONNA ALKALOIDS,Y,N,N,N 
BELSOMRA,SUVOREXANT,N,N,N,N 
BELVIQ,LORCASERIN HCL,N,N,N,N 
BENAZEPRIL HCL,BENAZEPRIL HCL,N,N,N,N 
BENAZEPRIL-HYDROCHLOROTHIAZIDE,BENAZEPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
BENICAR,OLMESARTAN MEDOXOMIL,N,N,N,N 
BENICAR HCT,OLMESARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
BENLYSTA,BELIMUMAB,N,N,N,N 
BENSAL HP,SALICYLIC ACID,N,N,N,N 
BENTYL,DICYCLOMINE HCL,N,N,N,N 
BENZACLIN,CLINDAMYCIN PHOS/BENZOYL PEROX,N,N,N,N 
BENZAMYCIN,ERYTHROMYCIN/BENZOYL PEROXIDE,N,N,N,N 
BENZONATATE,BENZONATATE,N,N,N,N 
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,N,N,Y,N 
BEPREVE,BEPOTASTINE BESILATE,N,N,N,N 
BERINERT,C1 ESTERASE INHIBITOR,N,N,N,N 
BESIVANCE,BESIFLOXACIN HCL,N,N,N,N 
BETADINE,POVIDONE-IODINE,N,N,N,N 
BETAGAN,LEVOBUNOLOL HCL,N,N,N,N 
BETAMETHASONE ACETATE-SOD PHOS,BETAMET ACET/BETAMET NA PH,N,N,N,N 
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,N,N,N,N 
BETAMETHASONE DIPROPIONATE,BETAMETHASONE/PROPYLENE GLYC,N,N,N,N 
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,N,N,N,N 
BETAPACE,SOTALOL HCL,N,N,N,N 
BETAPACE AF,SOTALOL HCL,N,N,N,N 
BETASERON,INTERFERON BETA-1B,N,N,N,N 
BETAXOLOL HCL,BETAXOLOL HCL,N,N,N,N 
BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,N,N,N,N 
BETHKIS,TOBRAMYCIN,N,N,N,N 
BETIMOL,TIMOLOL,N,N,N,N 
BETOPTIC S,BETAXOLOL HCL,N,N,N,N 
BEXAROTENE,BEXAROTENE,N,N,N,N 
BEXSERO,"MENINGOCOCCAL B VACC,4-COMP/PF",N,N,N,N 
BEYAZ,DROSPIR/ETH ESTRA/LEVOMEFOL CA,N,N,N,N 
BIAXIN,CLARITHROMYCIN,N,Y,N,N 
BICALUTAMIDE,BICALUTAMIDE,N,N,N,N 
BICILLIN C-R,PEN G BENZ/PEN G PROCAINE,N,Y,N,N 
BICILLIN L-A,PENICILLIN G BENZATHINE,N,Y,N,N 
BICNU,CARMUSTINE,N,N,N,N 
BIDIL,ISOSORB DINIT/HYDRALAZINE HCL,N,N,N,N 
BILTRICIDE,PRAZIQUANTEL,N,N,N,N 
BIMATOPROST,BIMATOPROST,N,N,N,N 
BINOSTO,ALENDRONATE SODIUM,N,N,N,N 
BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,N,N,N,N 
BISOPROLOL-HYDROCHLOROTHIAZIDE,BISOPROLOL FUMARATE/HCTZ,N,N,N,N 
BIVIGAM,IMMUN GLOB G (IGG)/GLY/IGA 50+,N,N,N,N 
BLEOMYCIN SULFATE,BLEOMYCIN SULFATE,N,N,N,N 
BLEPH-10,SULFACETAMIDE SODIUM,N,N,N,N 
BLEPHAMIDE,SULFACETM NA/PREDNISOL AC,N,N,N,N 
BLEPHAMIDE S.O.P.,SULFACETM NA/PREDNISOL AC,N,N,N,N 
BLINCYTO,BLINATUMOMAB,N,N,N,N 
BONIVA,IBANDRONATE SODIUM,N,N,N,N 
BOOSTRIX TDAP,"DIPHTH,PERTUSS(ACELL),TET VAC",N,N,N,N 
BOSULIF,BOSUTINIB,N,N,N,N 
BOTOX,ONABOTULINUMTOXINA,N,N,N,N 
BREO ELLIPTA,FLUTICASONE/VILANTEROL,N,N,N,N 
BRIELLYN,NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
BRILINTA,TICAGRELOR,N,N,N,N 
BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,N,N,N,N 
BRINTELLIX,VORTIOXETINE HYDROBROMIDE,N,N,N,N 
BRISDELLE,PAROXETINE MESYLATE,N,N,N,N 
BROMDAY,BROMFENAC SODIUM,N,N,N,N 
BROMFED DM,BROMPHENIRAMINE/PSEUDOEPHED/DM,N,N,Y,N 
BROMFENAC SODIUM,BROMFENAC SODIUM,N,N,N,N 
BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,N,N,N,N 
BROVANA,ARFORMOTEROL TARTRATE,N,N,N,N 
BSS,BALANCED SALT IRRIG SOLN NO.2,N,N,N,N 
BUDEPRION SR,BUPROPION HCL,N,N,N,N 
BUDESONIDE,BUDESONIDE,N,N,N,N 
BUDESONIDE EC,BUDESONIDE,N,N,N,N 
